tokenizer,avg_length,avg_fertility,vocab_utilization,vocab_size,dataset_size
lp_1024_finewebedu_data,1861.084228515625,0.4039568375465367,0.9921875,1024,65536
lp_2048_finewebedu_data,1501.568115234375,0.32565565742471014,0.99609375,2048,65536
lp_4096_finewebedu_data,1290.6735382080078,0.27967034907876737,0.998046875,4096,65536
lp_8192_finewebedu_data,1148.2309265136719,0.2488487020909445,0.9989013671875,8192,65536
lp_16384_finewebedu_data,1048.8280334472656,0.22757406081178227,0.99920654296875,16384,65536
lp_32768_finewebedu_data,987.1044006347656,0.21454550805076722,0.99822998046875,32768,65536
lp_65536_finewebedu_data,951.3334808349609,0.20712506172618111,0.99151611328125,65536,65536
lp_131072_finewebedu_data,931.6716461181641,0.20311215373003555,0.9598007202148438,131072,65536


